Number,Full date,Day,Month,Year,Country name,Country code,Latitude,Longitude,Purpose of gathering,Fatalities,Injured,Crowd size,Description,References
1,"September 19, 1902",19,9,1902,USA,USA,33.513,-86.894,Religious,115,80,2000,"Around 3,000 attendees at a sermon misheard the word ""fight"" as ""fire"" and tried to evacuate the building simultaneously in the ensuing chaos. Many people were killed when they fell over in the staircase outside the exit. Most of the fatalities were women. ",19020919.txt
2,"January 11, 1908",11,1,1908,United Kingdom,GBR,53.554,-1.479,Entertainment,16,40,-1,"A movie screening for children was held at a public hall. The supervising staff directed children to the lower floor when the upper floor became overcrowded. The crowd that attempted to go down the stairs were not able to, due to overcrowding on the lower floor. 16 children died and 17 were slighly injured.",19080111.txt
3,"August 26, 1911",26,8,1911,USA,USA,40.25859574,-80.18618706,Entertainment,26,30,-1,"A false shout of ""fire"" caused panic during a movie screening. A projector malfunction created a flash of light, which led theatergoers to rush to the exit. The narrow exit and locked doors caused a bottleneck, trapping people in the stairwell, and 26 people died. One individual who escaped later died from injuries. ",19110826.txt
4,"December 24, 1913",24,12,1913,USA,USA,47.2484,-88.4553,Entertainment,73,-1,-1,"Someone at a miners' Christmas party held on the second floor of an assembly hall shouted ""fire"", and attendees rushed to escape down the stairs. The crowd was squeezed against the inward-opening doors at the bottom of the stairs. Of the 73 people who died, 59 of them were children. ",19131224.txt
5,"March 11, 1918",11,3,1918,France,FRA,48.88062875,2.374798827,Other/Unknown,76,31,-1,"An accident occurred during an air raid in World War I in Paris. As residents sought refuge in the Bolivar station, panic ensued when the station's doors, which only opened outward, blocked their escape. The crowd became trapped, leading to suffocation and crushing deaths. ",19180311.txt
6,"December 31, 1929",31,12,1929,United Kingdom,GBR,55.846,-4.423,Entertainment,71,-1,600,"The projector began to emit smoke during a packed movie screening. Around 1,000 children tried to evacuate at once. Children piled up down the stairs, in front of the emergency exit  which was padlocked shut. ",19291231.txt
7,"January 8, 1934",8,1,1934,Japan,JPN,34.985407,135.75845,Other/Unknown,77,74,10000,"A crowd of around 10,000 people, far in excess of the station’s capacity, gathered to see off new recruits to the army. Before the train carrying the recruits was able to depart, pushing broke out on the stairs to the station overpass, causing members of the crowd to fall over. 77 people were killed and 74 injured.",19340108.txt
8,"February 17, 1934",17,2,1934,United Kingdom,GBR,53.411389,-1.500556,Sport,1,-1,72860,"In the day which represents the record attendance at Hillsborough stadium (72,841 people) a men was pressed against a gate when trying to get into the already closed stadium (some suggest the locked gate collapsed due to crowd pressure).",19340217.txt
9,"April 1, 1939",1,4,1939,United Kingdom,GBR,53.612778,-2.135278,Sport,2,15,-1,Hundreds of people climbed the roof of an already capacity filled stadium despite the police asking them to refrain doing so. The roof collapsed over the spectators killing 2 and injuring another 15.,19390401.txt
10,"October 23, 1942",23,10,1942,Italy,ITA,44.405571,8.934486,Other/Unknown,500,-1,-1,"The day before a large air raid had dropped tons of bombs, so, at the day of the accident, when the raid alarm rang, people rushed into a tunnel shelter and some fell from the stairs while people outside kept trying to get in.",19421023.txt
11,"March 3, 1943",3,3,1943,United Kingdom,GBR,51.527222,-0.055556,Other/Unknown,173,62,-1,"A woman carrying a child fell over on the stairs while a large crowd tried to enter the station to use it as an air raid shelter during an air raid, resulting in many people getting killed. ",19430303.txt
12,"March 9, 1946",9,3,1946,United Kingdom,GBR,53.568889,-2.416111,Sport,33,400,85000,"A fence in the stands at a crowded soccer game collapsed, and many in the crowd fell over and were killed. It is estimated that 85,000 attended the match.",19460309.txt
13,"April 9, 1952",9,4,1952,Venezuela,VEN,10.50175,-66.915583,Religious,53,-1,6000,"Almost 6,000 people gained for a religious event and tried to leave simultaneously when someone yelled ""fire"". Many people tried to leave from a gate, unaware that is was closed. It is believed ""fire"" was said by some people having criminal intentions.",19520409.txt
14,"March 9, 1953",9,3,1953,USSR,RUS,55.754167,37.62,Religious,109,-1,-1,Several hundreds of people got killed in the crowd during Stalin's public funeral as citizens tried to pay their respects to Stalin's casket. Exact number is unknown with some believing being over thousand.,19530309.txt
15,"January 2, 1954",2,1,1954,Japan,JPN,35.68024984,139.7536046,Political,16,65,380000,"When a rope restricting pedestrian access to the bridge was lifted, the crowd surged forward into the newly available space. An old woman stumbled and fell, causing a chain reaction of people falling over each other. ",19540102.txt
16,"February 3, 1954",3,2,1954,India,IND,25.42486319,81.88979455,Religious,800,2000,5000000,"A surge in the crowd at an important Hindu religious event (Kumbh Mela) and a destination for pilgrimages, caused a fence to collapse and a crowd accident. It is believed 5 million pigrims gained for the 40-days festival in which bathing plays an fundamental role.",19540203.txt
17,"March 30, 1955",30,3,1955,Chile,CHL,-33.464522,-70.610586,Sport,7,150,20000,"Ticket sales for a highly expected game was set to take place at the stadium on the day of the match. Thousands of people started to pack days before the sale started and when gates suddenly opened people rushed in, eventually leading to a crowd collective motion. More than 150 people were injured.",19550330.txt
18,"January 1, 1956",1,1,1956,Japan,JPN,37.706694,138.826,Religious,124,77,30000,"Crowds attempting to leave an important religious ceremony via the third gate of the shrine ran into a crowd trying to gain entrance to the ceremony, resulting in a stairway accident. 77 people were seriously injured.   ",19560101.txt
19,"December 14, 1957",14,12,1957,United Kingdom,GBR,55.838333,-4.228889,Sport,1,50,27000,"Crowd surged forward after a goal was scored eventually leading to the collapse of a wall whose bricks fell over children seating beneath. One boy was killed. Wall construction was judged as sound, but the absence of dedicated barriers contributed to pressure built-up.",19571214.txt
20,"July 17, 1959",17,7,1959,South Korea,KOR,35.11650158,129.0145115,Other/Unknown,68,125,70000,"During a public consolation event held at the Busan Public Stadium, a sudden rain shower caused approximately 30,000 spectators to rush toward the narrow entrance, which was only 7 to 8 meters wide, to seek shelter. In the chaos, people fell onto the dark, sloping road outside the stadium.",19590717.txt
21,"January 26, 1960",26,1,1960,South Korea,KOR,37.55594377,126.9716587,Transportation,31,41,3900,"The tragedy took place when a crowd of 3,900 people gathered at the station's platform. The station, which usually handled 1,300 people a day, was overcrowded, and when an announcement was made, passengers rushed toward the stairs, causing several to slip and be crushed. The chaotic situation was worsened by the icy conditions.",19600126.txt
22,"September 16, 1961",16,9,1961,United Kingdom,GBR,55.853206,-4.309258,Sport,2,-1,-1,"A last minute-draw, when people already started leaving, resulted in a surge in an already crowded stairway as people tried to get back to join celebrations.",19610916.txt
23,"March 4, 1964",4,3,1964,United Kingdom,GBR,54.92130316,-1.375489491,Sport,2,500,100000,A surge occurred in an reportedly overfilled stadium (apperently more than 100'000 for a stadium accomodating 62'000) during a soccer game. A 15 year-old girl and a 45 year-old man died and many hundreds were injured.,19640304.txt
24,"May 24, 1964",24,5,1964,Peru,PER,-12.067278,-77.033722,Sport,328,500,53000,"An unpopular call by a referee resulted in a pitch invasion, and police fired tear gas in response. Scared spectators fled the stadium via the stairs leading outside. The exits were closed, and the resulting crowd pressure caused people to get killed. ",19640524.txt
25,"September 17, 1967",17,9,1967,Turkey,TUR,38.723056,35.496667,Sport,43,600,21000,A riot broke out between fans of opposite teams and the fleeing of people from violence resulted in an accident in front of the stand exit.,19670917.txt
26,"June 23, 1968",23,6,1968,Argentina,ARG,-34.5452,-58.4497,Sport,71,150,90000,"Extreme behavior by some spectators scared the rest of the crowd which tried to evacuate via the stairs leading outside. The exits were locked, and the resulting crowd pressure led to an accident. Approximately 150 people were injured.",19680623.txt
27,"January 2, 1971",2,1,1971,United Kingdom,GBR,55.853206,-4.309258,Sport,66,200,80000,"Spectators attempting to leave the stadium at the end of a soccer game all tried to access the narrow stairs at once. A single person falling over caused a large number of other people to fall in a chain reaction. It is believed more than 80,000 fans attended the game.",19710102.txt
28,"March 4, 1971",4,3,1971,Brazil,BRA,-12.978806,-38.504194,Sport,2,2086,150000,"On the reinauguration of the expanded stadium rumors about a possible collapse of the stadium resulted in a tumult as people rushed to the pitch. Several thousands were hurt in the stadium filled with over 100,000 spectators (some even reporting as much as 150,000).",19710304.txt
29,"February 17, 1974",17,2,1974,Egypt,EGY,30.058611,31.203333,Sport,50,50,80000,Venue for the match had been changed to a stadium with a capacity lower then the one where the game was initially planned. Worried they will not be able to get in fans rushed to the new venue and a wall collapsed under the pressure of the crowd. At least 48 lost their lives and 50 were injured.,19740217.txt
